Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.12,0,1000,0,0.0600874,0.120175
0.5,0.12,0,1000,0,0.0604926,0.120985
0.5,0.12,0,1000,0,0.0601314,0.120263
0.5,0.12,0,1000,0,0.0602425,0.120485
0.5,0.13,0,1000,0,0.065051,0.130102
0.5,0.13,0,1000,0,0.0649442,0.129888
0.5,0.13,0,1000,0,0.0650431,0.130086
0.5,0.13,0,1000,0,0.0649295,0.129859
0.5,0.13,0,1000,0,0.0650137,0.130027
0.5,0.13,0,1000,0,0.0653503,0.130701
0.5,0.13,0,1000,0,0.0647158,0.129432
0.5,0.13,0,1000,0,0.0642992,0.128598
0.5,0.13,0,1000,0,0.0649267,0.129853
0.5,0.13,0,1000,0,0.0650137,0.130027
0.5,0.14,0,1000,0,0.0700896,0.140179
0.5,0.14,0,1000,0,0.0695369,0.139074
0.5,0.14,0,1000,0,0.0698634,0.139727
0.5,0.14,0,1000,0,0.0697245,0.139449
0.5,0.14,0,1000,0,0.0703987,0.140797
0.5,0.14,0,1000,0,0.0701409,0.140282
0.5,0.14,0,1000,0,0.0698771,0.139754
0.5,0.14,0,1000,0,0.070101,0.140202
0.5,0.14,0,1000,0,0.0698574,0.139715
0.5,0.14,0,1000,0,0.0703531,0.140706
0.5,0.15,0,1000,0,0.0752871,0.150574
0.5,0.15,0,1000,0,0.0755029,0.151006
0.5,0.15,0,1000,0,0.0754087,0.150817
0.5,0.15,0,1000,0,0.0749635,0.149927
0.5,0.15,0,1000,0,0.074683,0.149366
0.5,0.15,0,1000,0,0.0753032,0.150606
0.5,0.15,0,1000,0,0.074996,0.149992
0.5,0.15,0,1000,0,0.0751531,0.150306
0.5,0.15,0,1000,0,0.0756194,0.151239
0.5,0.15,0,1000,0,0.075461,0.150922
0.5,0.16,0,1000,0,0.0806108,0.161222
0.5,0.16,0,1000,0,0.0803625,0.160725
0.5,0.16,0,1000,0,0.0801427,0.160285
0.5,0.16,0,1000,0,0.0798397,0.159679
0.5,0.16,0,1000,0,0.0803225,0.160645
0.5,0.16,0,1000,0,0.0796361,0.159272
0.5,0.16,0,1000,0,0.0802629,0.160526
0.5,0.16,0,1000,0,0.0799792,0.159958
0.5,0.16,0,1000,0,0.0794567,0.158913
0.5,0.16,0,1000,0,0.0796488,0.159298
0.5,0.17,0,1000,0,0.0847057,0.169411
0.5,0.17,0,1000,0,0.0846434,0.169287
0.5,0.17,0,1000,0,0.0846637,0.169327
0.5,0.17,0,1000,0,0.0853979,0.170796
0.5,0.17,0,1000,0,0.0847232,0.169446
0.5,0.17,0,1000,0,0.0849389,0.169878
0.5,0.17,0,1000,0,0.0849932,0.169986
0.5,0.17,0,1000,0,0.0850433,0.170087
0.5,0.17,0,1000,0,0.084579,0.169158
0.5,0.17,0,1000,0,0.0850921,0.170184
0.5,0.18,0,1000,0,0.0896552,0.17931
0.5,0.18,0,1000,0,0.089788,0.179576
0.5,0.18,0,1000,0,0.0894185,0.178837
0.5,0.18,0,1000,0,0.0902783,0.180557
0.5,0.18,0,1000,0,0.0900997,0.180199
0.5,0.18,0,1000,0,0.0898306,0.179661
0.5,0.18,0,1000,0,0.0902576,0.180515
0.5,0.18,0,1000,0,0.089927,0.179854
0.5,0.18,0,1000,0,0.0896274,0.179255
0.5,0.18,0,1000,0,0.0899727,0.179945
0.5,0.19,0,1000,0,0.0945206,0.189041
0.5,0.19,0,1000,0,0.0949469,0.189894
0.5,0.19,0,1000,0,0.0944126,0.188825
0.5,0.19,0,1000,0,0.0954312,0.190862
0.5,0.19,0,1000,0,0.0947712,0.189542
0.5,0.19,0,1000,0,0.0945488,0.189098
0.5,0.19,0,1000,0,0.0944925,0.188985
0.5,0.19,0,1000,0,0.0951386,0.190277
0.5,0.19,0,1000,0,0.0942018,0.188404
0.5,0.19,0,1000,0,0.0947865,0.189573
0.5,0.2,0,1000,0,0.100107,0.200215
0.5,0.2,0,1000,0,0.100042,0.200083
0.5,0.2,0,1000,0,0.0997081,0.199416
0.5,0.2,0,1000,0,0.0998889,0.199778
