Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.11,0,1000,0,0.0730635,0.109817
0.5,0.11,0,1000,0,0.0730544,0.109633
0.5,0.11,0,1000,0,0.073398,0.110063
0.5,0.11,0,1000,0,0.0732093,0.110045
0.5,0.11,0,1000,0,0.0727941,0.109198
0.5,0.11,0,1000,0,0.0737153,0.11053
0.5,0.11,0,1000,0,0.072997,0.109501
0.5,0.11,0,1000,0,0.0733557,0.110031
0.5,0.11,0,1000,0,0.0730566,0.109554
0.5,0.11,0,1000,0,0.07374,0.11058
0.5,0.12,0,1000,0,0.0794639,0.119464
0.5,0.12,0,1000,0,0.0805363,0.120666
0.5,0.12,0,1000,0,0.0799873,0.12004
0.5,0.12,0,1000,0,0.0800296,0.120123
0.5,0.12,0,1000,0,0.0801524,0.120192
0.5,0.12,0,1000,0,0.0795176,0.119459
0.5,0.12,0,1000,0,0.0800352,0.120143
0.5,0.12,0,1000,0,0.0795636,0.119544
0.5,0.12,0,1000,0,0.0799948,0.119971
0.5,0.12,0,1000,0,0.0792998,0.118852
0.5,0.13,0,1000,0,0.0865012,0.129781
0.5,0.13,0,1000,0,0.0863822,0.129629
0.5,0.13,0,1000,0,0.0866572,0.129931
0.5,0.13,0,1000,0,0.0868345,0.130202
0.5,0.13,0,1000,0,0.0863732,0.129579
0.5,0.13,0,1000,0,0.0866341,0.130168
0.5,0.13,0,1000,0,0.0863109,0.129447
0.5,0.13,0,1000,0,0.0863163,0.129647
0.5,0.13,0,1000,0,0.0868067,0.130144
0.5,0.13,0,1000,0,0.0870307,0.130619
0.5,0.14,0,1000,0,0.0935182,0.140459
0.5,0.14,0,1000,0,0.0935419,0.140273
0.5,0.14,0,1000,0,0.0932466,0.139573
0.5,0.14,0,1000,0,0.0933643,0.140153
0.5,0.14,0,1000,0,0.0941745,0.141041
0.5,0.14,0,1000,0,0.0935494,0.140131
0.5,0.14,0,1000,0,0.0933322,0.139985
0.5,0.14,0,1000,0,0.0921503,0.138228
0.5,0.14,0,1000,0,0.0937271,0.140429
0.5,0.14,0,1000,0,0.0924208,0.138552
0.5,0.15,0,1000,0,0.100245,0.150232
0.5,0.15,0,1000,0,0.0995538,0.14936
0.5,0.15,0,1000,0,0.100182,0.150231
0.5,0.15,0,1000,0,0.0996347,0.149536
0.5,0.15,0,1000,0,0.0998241,0.14965
0.5,0.15,0,1000,0,0.0998919,0.149926
0.5,0.15,0,1000,0,0.100304,0.150546
0.5,0.15,0,1000,0,0.10035,0.150545
0.5,0.15,0,1000,0,0.100341,0.150506
0.5,0.15,0,1000,0,0.100605,0.150896
0.5,0.16,0,1000,0,0.107383,0.161025
0.5,0.16,0,1000,0,0.106668,0.160186
0.5,0.16,0,1000,0,0.106816,0.160016
0.5,0.16,0,1000,0,0.106581,0.160012
0.5,0.16,0,1000,0,0.106711,0.160318
0.5,0.16,0,1000,0,0.106587,0.16002
0.5,0.16,0,1000,0,0.106287,0.15965
0.5,0.16,0,1000,0,0.106359,0.159634
0.5,0.16,0,1000,0,0.106685,0.160269
0.5,0.16,0,1000,0,0.107275,0.160801
0.5,0.17,0,1000,0,0.113069,0.169599
0.5,0.17,0,1000,0,0.113823,0.170783
0.5,0.17,0,1000,0,0.113851,0.170774
0.5,0.17,0,1000,0,0.112627,0.169159
0.5,0.17,0,1000,0,0.114094,0.171024
0.5,0.17,0,1000,0,0.113043,0.169592
0.5,0.17,0,1000,0,0.113895,0.170584
0.5,0.17,0,1000,0,0.11308,0.169598
0.5,0.17,0,1000,0,0.113421,0.169998
0.5,0.17,0,1000,0,0.113561,0.1702
0.5,0.18,0,1000,0,0.119809,0.179779
0.5,0.18,0,1000,0,0.118973,0.178498
0.5,0.18,0,1000,0,0.120106,0.180207
0.5,0.18,0,1000,0,0.119351,0.179098
0.5,0.18,0,1000,0,0.120419,0.18081
0.5,0.18,0,1000,0,0.120202,0.180336
0.5,0.18,0,1000,0,0.119746,0.179829
0.5,0.18,0,1000,0,0.119582,0.179302
0.5,0.18,0,1000,0,0.119591,0.179654
0.5,0.18,0,1000,0,0.120037,0.180223
0.5,0.19,0,1000,0,0.127124,0.190616
0.5,0.19,0,1000,0,0.127303,0.191099
0.5,0.19,0,1000,0,0.126487,0.189809
0.5,0.19,0,1000,0,0.12662,0.189814
0.5,0.19,0,1000,0,0.125877,0.188807
0.5,0.19,0,1000,0,0.126596,0.189772
0.5,0.19,0,1000,0,0.12724,0.191043
0.5,0.19,0,1000,0,0.126889,0.190443
0.5,0.19,0,1000,0,0.126084,0.189325
0.5,0.19,0,1000,0,0.127336,0.191139
0.5,0.2,0,1000,0,0.133807,0.200647
0.5,0.2,0,1000,0,0.133941,0.200848
0.5,0.2,0,1000,0,0.1331,0.199644
0.5,0.2,0,1000,0,0.133551,0.200062
0.5,0.2,0,1000,0,0.133231,0.199808
0.5,0.2,0,1000,0,0.133292,0.199899
0.5,0.2,0,1000,0,0.133324,0.200085
0.5,0.2,0,1000,0,0.13316,0.199652
0.5,0.2,0,1000,0,0.132863,0.199311
0.5,0.2,0,1000,0,0.132788,0.19927
0.5,0.21,0,1000,0,0.14115,0.211822
0.5,0.21,0,1000,0,0.140884,0.211225
0.5,0.21,0,1000,0,0.139335,0.208801
0.5,0.21,0,1000,0,0.140209,0.210086
0.5,0.21,0,1000,0,0.140048,0.209968
0.5,0.21,0,1000,0,0.14004,0.21007
0.5,0.21,0,1000,0,0.140214,0.21004
0.5,0.21,0,1000,0,0.139955,0.20973
0.5,0.21,0,1000,0,0.139976,0.210445
0.5,0.21,0,1000,0,0.140176,0.210377
0.5,0.22,0,1000,0,0.147106,0.22056
0.5,0.22,0,1000,0,0.146599,0.220049
0.5,0.22,0,1000,0,0.146492,0.220223
0.5,0.22,0,1000,0,0.146223,0.219242
0.5,0.22,0,1000,0,0.145737,0.218893
0.5,0.22,0,1000,0,0.146702,0.219998
0.5,0.22,0,1000,0,0.146686,0.219977
0.5,0.22,0,1000,0,0.146966,0.22014
0.5,0.22,0,1000,0,0.146776,0.219937
0.5,0.22,0,1000,0,0.146657,0.219992
0.5,0.23,0,1000,0,0.154325,0.231506
0.5,0.23,0,1000,0,0.152792,0.229216
0.5,0.23,0,1000,0,0.154012,0.231183
0.5,0.23,0,1000,0,0.153001,0.229443
0.5,0.23,0,1000,0,0.154035,0.230904
0.5,0.23,0,1000,0,0.153089,0.229504
0.5,0.23,0,1000,0,0.152772,0.229663
0.5,0.23,0,1000,0,0.152979,0.229258
0.5,0.23,0,1000,0,0.153157,0.229669
0.5,0.23,0,1000,0,0.153282,0.229817
0.5,0.24,0,1000,0,0.160218,0.240305
0.5,0.24,0,1000,0,0.160778,0.241195
0.5,0.24,0,1000,0,0.159879,0.239962
0.5,0.24,0,1000,0,0.160209,0.24058
0.5,0.24,0,1000,0,0.160631,0.240435
0.5,0.24,0,1000,0,0.160173,0.240432
0.5,0.24,0,1000,0,0.159788,0.23962
0.5,0.24,0,1000,0,0.159725,0.239652
0.5,0.24,0,1000,0,0.159822,0.239596
0.5,0.24,0,1000,0,0.159004,0.238779
0.5,0.25,0,1000,0,0.166986,0.250362
0.5,0.25,0,1000,0,0.166793,0.250364
0.5,0.25,0,1000,0,0.167208,0.250716
0.5,0.25,0,1000,0,0.166162,0.249053
0.5,0.25,0,1000,0,0.166569,0.24977
0.5,0.25,0,1000,0,0.166763,0.250197
0.5,0.25,0,1000,0,0.166678,0.250295
0.5,0.25,0,1000,0,0.167384,0.250839
0.5,0.25,0,1000,0,0.166484,0.249742
0.5,0.25,0,1000,0,0.166891,0.249886
0.5,0.26,0,1000,0,0.173305,0.260369
0.5,0.26,0,1000,0,0.173479,0.260379
0.5,0.26,0,1000,0,0.173864,0.260864
0.5,0.26,0,1000,0,0.173963,0.260951
0.5,0.26,0,1000,0,0.17307,0.259844
0.5,0.26,0,1000,0,0.173624,0.260928
0.5,0.26,0,1000,0,0.172222,0.258154
0.5,0.26,0,1000,0,0.173516,0.260431
0.5,0.26,0,1000,0,0.172441,0.258737
0.5,0.26,0,1000,0,0.173415,0.260385
0.5,0.27,0,1000,0,0.180618,0.270827
0.5,0.27,0,1000,0,0.180259,0.270286
0.5,0.27,0,1000,0,0.179197,0.268766
0.5,0.27,0,1000,0,0.180055,0.269959
0.5,0.27,0,1000,0,0.180425,0.270555
0.5,0.27,0,1000,0,0.17991,0.270245
0.5,0.27,0,1000,0,0.179962,0.270032
0.5,0.27,0,1000,0,0.179383,0.269108
0.5,0.27,0,1000,0,0.181125,0.271405
0.5,0.27,0,1000,0,0.178453,0.267818
0.5,0.28,0,1000,0,0.186541,0.279809
0.5,0.28,0,1000,0,0.186374,0.279381
0.5,0.28,0,1000,0,0.187105,0.280688
0.5,0.28,0,1000,0,0.187376,0.280974
0.5,0.28,0,1000,0,0.186181,0.278972
0.5,0.28,0,1000,0,0.185958,0.278726
0.5,0.28,0,1000,0,0.18669,0.279612
0.5,0.28,0,1000,0,0.186484,0.280186
0.5,0.28,0,1000,0,0.187089,0.280645
0.5,0.28,0,1000,0,0.185674,0.278311
0.5,0.29,0,1000,0,0.194138,0.290995
0.5,0.29,0,1000,0,0.193709,0.290517
0.5,0.29,0,1000,0,0.193634,0.290286
0.5,0.29,0,1000,0,0.193246,0.289975
0.5,0.29,0,1000,0,0.193628,0.290148
0.5,0.29,0,1000,0,0.193048,0.289732
0.5,0.29,0,1000,0,0.194255,0.290969
0.5,0.29,0,1000,0,0.193418,0.289963
0.5,0.29,0,1000,0,0.194086,0.291217
0.5,0.29,0,1000,0,0.193269,0.289574
0.5,0.3,0,1000,0,0.200261,0.300342
0.5,0.3,0,1000,0,0.200354,0.300513
0.5,0.3,0,1000,0,0.199638,0.299026
0.5,0.3,0,1000,0,0.199944,0.300073
0.5,0.3,0,1000,0,0.19903,0.29826
0.5,0.3,0,1000,0,0.200037,0.299995
0.5,0.3,0,1000,0,0.19979,0.299502
0.5,0.3,0,1000,0,0.19972,0.299622
0.5,0.3,0,1000,0,0.199977,0.299823
0.5,0.3,0,1000,0,0.200161,0.300241
0.5,0.31,0,1000,0,0.20705,0.310422
0.5,0.31,0,1000,0,0.207906,0.311827
0.5,0.31,0,1000,0,0.207433,0.310748
0.5,0.31,0,1000,0,0.20595,0.30886
0.5,0.31,0,1000,0,0.206545,0.309942
