Drive carrier fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency
0.61,0.44,24,24,1
0.61,0.44,20,20,1
0.61,0.44,19,19,1
0.61,0.44,20,20,1
0.61,0.44,19,19,1
0.61,0.44,22,22,1
0.61,0.44,26,26,1
0.61,0.44,20,21,1
0.61,0.44,20,20,1
0.61,0.44,25,25,1
0.61,0.45,19,19,1
0.61,0.45,20,20,1
0.61,0.45,24,24,1
0.61,0.45,20,20,1
0.61,0.45,20,20,1
0.61,0.45,26,26,1
0.61,0.45,24,24,1
0.61,0.45,18,18,1
0.61,0.45,21,22,1
0.61,0.45,19,19,1
0.61,0.46,20,20,1
0.61,0.46,20,20,1
0.61,0.46,18,18,1
0.61,0.46,35,35,1
0.61,0.46,23,23,1
0.61,0.46,21,21,1
0.61,0.46,19,20,1
0.61,0.46,34,34,1
0.61,0.46,19,19,1
0.61,0.46,40,40,1
0.61,0.47,19,20,1
0.61,0.47,22,22,1
0.61,0.47,22,22,1
0.61,0.47,26,26,1
0.61,0.47,20,20,1
0.61,0.47,35,35,1
0.61,0.47,30,30,1
0.61,0.47,22,22,1
0.61,0.47,23,23,1
0.61,0.47,22,22,1
0.61,0.48,23,23,1
0.61,0.48,36,36,1
0.61,0.48,29,29,1
0.61,0.48,20,20,1
0.61,0.48,20,20,1
0.61,0.48,18,18,1
0.61,0.48,21,22,1
0.61,0.48,19,19,1
0.61,0.48,21,21,1
0.61,0.48,20,20,1
0.61,0.49,21,21,1
0.61,0.49,19,19,1
0.61,0.49,22,22,1
0.61,0.49,20,20,1
0.61,0.49,19,19,1
0.61,0.49,22,22,1
0.61,0.49,27,27,1
0.61,0.49,21,21,1
0.61,0.49,19,20,1
0.61,0.49,22,22,1
0.61,0.5,21,21,1
0.61,0.5,18,24,1
0.61,0.5,17,18,1
0.61,0.5,16,16,1
0.61,0.5,19,19,1
0.61,0.5,21,21,1
0.61,0.5,19,20,1
0.61,0.5,18,19,1
0.61,0.5,68,68,1
0.61,0.5,21,21,1
0.62,0,1000,0,0
0.62,0.01,52,52,1
0.62,0.01,53,53,1
0.62,0.01,39,39,1
0.62,0.01,1000,16,0.199792
0.62,0.01,38,39,1
0.62,0.01,44,44,1
0.62,0.01,40,40,1
0.62,0.01,39,39,1
0.62,0.01,39,39,1
0.62,0.01,43,43,1
0.62,0.02,41,41,1
0.62,0.02,38,38,1
0.62,0.02,41,41,1
0.62,0.02,37,37,1
0.62,0.02,35,36,1
0.62,0.02,37,37,1
0.62,0.02,38,38,1
0.62,0.02,35,35,1
0.62,0.02,34,35,1
0.62,0.02,36,36,1
0.62,0.03,33,33,1
0.62,0.03,37,38,1
0.62,0.03,34,34,1
0.62,0.03,35,35,1
0.62,0.03,36,36,1
0.62,0.03,36,36,1
0.62,0.03,44,44,1
0.62,0.03,33,33,1
0.62,0.03,38,38,1
0.62,0.03,46,46,1
0.62,0.04,33,33,1
0.62,0.04,34,34,1
0.62,0.04,32,32,1
0.62,0.04,37,37,1
0.62,0.04,33,33,1
0.62,0.04,32,33,1
0.62,0.04,31,34,1
0.62,0.04,40,40,1
0.62,0.04,33,33,1
0.62,0.04,45,45,1
0.62,0.05,35,37,1
0.62,0.05,33,33,1
0.62,0.05,32,32,1
0.62,0.05,33,33,1
0.62,0.05,34,34,1
0.62,0.05,39,39,1
0.62,0.05,50,50,1
0.62,0.05,31,31,1
0.62,0.05,35,35,1
0.62,0.05,31,31,1
0.62,0.06,34,34,1
0.62,0.06,35,35,1
0.62,0.06,58,58,1
0.62,0.06,30,32,1
0.62,0.06,32,32,1
0.62,0.06,36,36,1
0.62,0.06,31,31,1
0.62,0.06,33,33,1
0.62,0.06,31,32,1
0.62,0.06,39,39,1
0.62,0.07,29,29,1
0.62,0.07,38,38,1
0.62,0.07,29,29,1
0.62,0.07,32,32,1
0.62,0.07,29,29,1
0.62,0.07,30,30,1
0.62,0.07,32,33,1
0.62,0.07,34,34,1
0.62,0.07,31,31,1
0.62,0.07,33,34,1
0.62,0.08,36,36,1
0.62,0.08,34,35,1
0.62,0.08,36,36,1
0.62,0.08,30,30,1
0.62,0.08,34,34,1
0.62,0.08,31,31,1
0.62,0.08,34,34,1
0.62,0.08,30,30,1
0.62,0.08,33,33,1
0.62,0.08,34,34,1
0.62,0.09,28,29,1
0.62,0.09,29,29,1
0.62,0.09,28,28,1
0.62,0.09,30,30,1
0.62,0.09,29,29,1
0.62,0.09,27,28,1
0.62,0.09,30,30,1
0.62,0.09,28,29,1
0.62,0.09,31,31,1
0.62,0.09,29,29,1
0.62,0.1,27,27,1
0.62,0.1,27,27,1
0.62,0.1,28,29,1
0.62,0.1,41,42,1
0.62,0.1,27,27,1
0.62,0.1,29,29,1
0.62,0.1,27,27,1
0.62,0.1,31,31,1
0.62,0.1,28,29,1
0.62,0.1,28,28,1
0.62,0.11,25,26,1
0.62,0.11,27,28,1
0.62,0.11,29,29,1
0.62,0.11,28,28,1
0.62,0.11,31,32,1
0.62,0.11,27,27,1
0.62,0.11,28,28,1
0.62,0.11,30,30,1
0.62,0.11,29,29,1
0.62,0.11,30,30,1
0.62,0.12,26,26,1
0.62,0.12,25,27,1
0.62,0.12,26,26,1
0.62,0.12,29,29,1
0.62,0.12,26,27,1
0.62,0.12,28,28,1
0.62,0.12,1000,7,0.38382
0.62,0.12,27,28,1
0.62,0.12,40,40,1
0.62,0.12,33,33,1
0.62,0.13,33,33,1
0.62,0.13,31,31,1
0.62,0.13,33,33,1
0.62,0.13,30,30,1
0.62,0.13,27,27,1
0.62,0.13,33,33,1
0.62,0.13,27,27,1
0.62,0.13,29,29,1
0.62,0.13,26,26,1
0.62,0.13,27,27,1
0.62,0.14,27,27,1
0.62,0.14,29,29,1
0.62,0.14,27,28,1
0.62,0.14,28,28,1
0.62,0.14,31,31,1
0.62,0.14,27,27,1
0.62,0.14,25,25,1
0.62,0.14,31,32,1
0.62,0.14,25,26,1
0.62,0.14,25,26,1
0.62,0.15,25,25,1
0.62,0.15,27,27,1
0.62,0.15,29,29,1
0.62,0.15,27,27,1
0.62,0.15,26,26,1
0.62,0.15,25,25,1
0.62,0.15,26,26,1
0.62,0.15,28,28,1
0.62,0.15,25,25,1
0.62,0.15,28,28,1
0.62,0.16,33,33,1
0.62,0.16,27,27,1
0.62,0.16,27,27,1
0.62,0.16,27,27,1
0.62,0.16,28,28,1
0.62,0.16,34,34,1
0.62,0.16,1000,9,0.579769
0.62,0.16,24,24,1
0.62,0.16,37,37,1
0.62,0.16,25,25,1
0.62,0.17,25,25,1
0.62,0.17,27,27,1
0.62,0.17,24,24,1
0.62,0.17,26,26,1
0.62,0.17,28,29,1
0.62,0.17,23,23,1
0.62,0.17,27,27,1
0.62,0.17,27,27,1
0.62,0.17,28,28,1
0.62,0.17,25,25,1
0.62,0.18,27,27,1
0.62,0.18,27,27,1
0.62,0.18,28,28,1
0.62,0.18,30,30,1
0.62,0.18,25,25,1
0.62,0.18,24,24,1
0.62,0.18,26,26,1
0.62,0.18,22,23,1
0.62,0.18,28,28,1
0.62,0.18,25,26,1
0.62,0.19,25,25,1
0.62,0.19,25,26,1
0.62,0.19,29,29,1
0.62,0.19,34,34,1
0.62,0.19,26,26,1
0.62,0.19,28,28,1
0.62,0.19,23,24,1
0.62,0.19,26,26,1
0.62,0.19,29,29,1
0.62,0.19,28,28,1
0.62,0.2,28,28,1
0.62,0.2,22,23,1
0.62,0.2,23,23,1
0.62,0.2,26,26,1
0.62,0.2,25,25,1
0.62,0.2,25,25,1
0.62,0.2,25,25,1
0.62,0.2,24,24,1
0.62,0.2,26,26,1
0.62,0.2,30,30,1
0.62,0.21,26,26,1
0.62,0.21,23,26,1
0.62,0.21,24,25,1
0.62,0.21,22,22,1
0.62,0.21,35,35,1
0.62,0.21,24,25,1
0.62,0.21,33,33,1
0.62,0.21,24,24,1
0.62,0.21,25,25,1
0.62,0.21,28,28,1
0.62,0.22,24,24,1
0.62,0.22,22,22,1
0.62,0.22,28,28,1
0.62,0.22,25,25,1
0.62,0.22,23,23,1
0.62,0.22,26,26,1
0.62,0.22,22,23,1
0.62,0.22,27,27,1
0.62,0.22,26,26,1
0.62,0.22,25,25,1
0.62,0.23,24,24,1
0.62,0.23,26,26,1
0.62,0.23,25,25,1
0.62,0.23,38,38,1
0.62,0.23,25,26,1
0.62,0.23,23,23,1
0.62,0.23,25,25,1
0.62,0.23,28,28,1
0.62,0.23,25,25,1
0.62,0.23,25,25,1
0.62,0.24,23,23,1
0.62,0.24,25,25,1
0.62,0.24,31,31,1
0.62,0.24,22,22,1
0.62,0.24,22,22,1
0.62,0.24,25,25,1
0.62,0.24,27,27,1
0.62,0.24,26,26,1
0.62,0.24,24,24,1
0.62,0.24,28,28,1
0.62,0.25,22,22,1
0.62,0.25,23,24,1
0.62,0.25,23,23,1
0.62,0.25,23,24,1
0.62,0.25,24,24,1
0.62,0.25,26,26,1
0.62,0.25,23,24,1
0.62,0.25,25,25,1
0.62,0.25,30,30,1
0.62,0.25,24,24,1
0.62,0.26,23,23,1
0.62,0.26,27,27,1
0.62,0.26,26,26,1
0.62,0.26,22,23,1
0.62,0.26,23,23,1
0.62,0.26,21,22,1
0.62,0.26,26,26,1
0.62,0.26,27,28,1
0.62,0.26,21,21,1
0.62,0.26,22,22,1
0.62,0.27,23,23,1
0.62,0.27,22,26,1
0.62,0.27,20,20,1
0.62,0.27,21,21,1
0.62,0.27,29,29,1
0.62,0.27,22,23,1
0.62,0.27,22,22,1
0.62,0.27,21,21,1
0.62,0.27,33,33,1
0.62,0.27,22,23,1
0.62,0.28,21,21,1
0.62,0.28,23,23,1
0.62,0.28,21,21,1
0.62,0.28,21,21,1
0.62,0.28,22,22,1
0.62,0.28,23,23,1
0.62,0.28,27,27,1
0.62,0.28,22,22,1
0.62,0.28,23,23,1
0.62,0.28,24,24,1
0.62,0.29,23,23,1
0.62,0.29,24,24,1
0.62,0.29,21,21,1
0.62,0.29,22,24,1
0.62,0.29,19,20,1
0.62,0.29,23,23,1
0.62,0.29,40,40,1
0.62,0.29,28,28,1
0.62,0.29,22,22,1
0.62,0.29,21,21,1
0.62,0.3,26,26,1
0.62,0.3,20,21,1
0.62,0.3,25,25,1
0.62,0.3,25,25,1
0.62,0.3,27,27,1
0.62,0.3,22,22,1
0.62,0.3,29,29,1
0.62,0.3,23,23,1
0.62,0.3,22,23,1
0.62,0.3,22,22,1
0.62,0.31,20,39,1
0.62,0.31,35,35,1
0.62,0.31,24,24,1
0.62,0.31,25,25,1
0.62,0.31,29,29,1
0.62,0.31,25,25,1
0.62,0.31,24,24,1
0.62,0.31,22,22,1
0.62,0.31,20,20,1
0.62,0.31,22,22,1
0.62,0.32,25,25,1
0.62,0.32,23,23,1
0.62,0.32,25,25,1
0.62,0.32,27,27,1
0.62,0.32,22,22,1
0.62,0.32,20,21,1
0.62,0.32,26,26,1
0.62,0.32,21,21,1
0.62,0.32,22,22,1
0.62,0.32,35,35,1
0.62,0.33,37,37,1
0.62,0.33,23,23,1
0.62,0.33,20,21,1
0.62,0.33,27,27,1
0.62,0.33,22,22,1
0.62,0.33,23,23,1
0.62,0.33,23,23,1
0.62,0.33,22,22,1
0.62,0.33,24,24,1
0.62,0.33,38,38,1
0.62,0.34,20,21,1
0.62,0.34,25,25,1
0.62,0.34,23,23,1
0.62,0.34,19,20,1
0.62,0.34,25,25,1
0.62,0.34,27,27,1
0.62,0.34,22,22,1
0.62,0.34,20,20,1
0.62,0.34,26,26,1
0.62,0.34,23,24,1
0.62,0.35,20,20,1
0.62,0.35,18,18,1
0.62,0.35,23,23,1
0.62,0.35,23,23,1
0.62,0.35,29,29,1
0.62,0.35,23,23,1
0.62,0.35,20,20,1
0.62,0.35,23,23,1
0.62,0.35,22,23,1
0.62,0.35,19,19,1
0.62,0.36,19,19,1
0.62,0.36,21,21,1
0.62,0.36,25,25,1
0.62,0.36,22,22,1
0.62,0.36,20,20,1
0.62,0.36,23,23,1
0.62,0.36,26,26,1
0.62,0.36,28,28,1
0.62,0.36,27,27,1
0.62,0.36,21,21,1
0.62,0.37,19,19,1
0.62,0.37,20,20,1
0.62,0.37,20,20,1
0.62,0.37,20,23,1
0.62,0.37,25,25,1
0.62,0.37,22,22,1
0.62,0.37,20,21,1
0.62,0.37,22,23,1
0.62,0.37,22,22,1
0.62,0.37,25,25,1
0.62,0.38,21,21,1
0.62,0.38,22,22,1
0.62,0.38,29,29,1
0.62,0.38,21,21,1
0.62,0.38,19,19,1
0.62,0.38,20,20,1
0.62,0.38,33,33,1
0.62,0.38,22,22,1
0.62,0.38,20,20,1
0.62,0.38,19,20,1
0.62,0.39,20,20,1
0.62,0.39,35,36,1
0.62,0.39,25,25,1
0.62,0.39,19,19,1
0.62,0.39,19,19,1
0.62,0.39,23,23,1
0.62,0.39,20,20,1
0.62,0.39,21,22,1
0.62,0.39,25,25,1
0.62,0.39,24,24,1
0.62,0.4,21,21,1
0.62,0.4,43,43,1
0.62,0.4,22,22,1
0.62,0.4,26,26,1
0.62,0.4,28,29,1
0.62,0.4,19,20,1
0.62,0.4,23,23,1
0.62,0.4,1000,8,0.78307
0.62,0.4,22,22,1
0.62,0.4,29,29,1
0.62,0.41,17,17,1
0.62,0.41,20,20,1
0.62,0.41,25,25,1
0.62,0.41,21,21,1
0.62,0.41,23,23,1
0.62,0.41,24,24,1
0.62,0.41,23,23,1
0.62,0.41,20,20,1
0.62,0.41,20,20,1
0.62,0.41,22,22,1
0.62,0.42,25,25,1
0.62,0.42,19,19,1
0.62,0.42,19,19,1
0.62,0.42,20,20,1
0.62,0.42,23,23,1
0.62,0.42,17,18,1
0.62,0.42,20,20,1
0.62,0.42,24,24,1
0.62,0.42,19,19,1
0.62,0.42,20,20,1
0.62,0.43,22,22,1
0.62,0.43,19,20,1
0.62,0.43,23,23,1
0.62,0.43,21,21,1
0.62,0.43,20,20,1
0.62,0.43,30,30,1
0.62,0.43,18,19,1
0.62,0.43,19,19,1
0.62,0.43,30,30,1
0.62,0.43,19,19,1
0.62,0.44,17,17,1
0.62,0.44,18,18,1
0.62,0.44,20,20,1
0.62,0.44,18,18,1
0.62,0.44,21,21,1
0.62,0.44,19,19,1
0.62,0.44,21,21,1
0.62,0.44,23,23,1
0.62,0.44,28,28,1
0.62,0.44,23,23,1
0.62,0.45,18,19,1
0.62,0.45,20,21,1
0.62,0.45,21,21,1
0.62,0.45,17,18,1
0.62,0.45,23,23,1
0.62,0.45,36,36,1
0.62,0.45,23,23,1
0.62,0.45,19,20,1
0.62,0.45,22,22,1
0.62,0.45,19,19,1
0.62,0.46,19,19,1
0.62,0.46,21,21,1
0.62,0.46,20,20,1
0.62,0.46,22,22,1
0.62,0.46,22,22,1
0.62,0.46,19,20,1
0.62,0.46,19,19,1
0.62,0.46,19,20,1
0.62,0.46,19,19,1
0.62,0.46,20,21,1
0.62,0.47,17,19,1
0.62,0.47,20,20,1
0.62,0.47,18,18,1
0.62,0.47,18,18,1
0.62,0.47,21,21,1
0.62,0.47,18,19,1
0.62,0.47,17,17,1
0.62,0.47,20,20,1
0.62,0.47,24,24,1
0.62,0.47,20,20,1
0.62,0.48,19,19,1
0.62,0.48,20,21,1
0.62,0.48,22,22,1
0.62,0.48,18,18,1
0.62,0.48,18,18,1
0.62,0.48,21,21,1
0.62,0.48,22,23,1
0.62,0.48,17,19,1
0.62,0.48,21,21,1
0.62,0.48,17,17,1
0.62,0.49,19,19,1
0.62,0.49,35,35,1
0.62,0.49,26,26,1
0.62,0.49,20,20,1
0.62,0.49,21,21,1
0.62,0.49,19,19,1
0.62,0.49,23,23,1
0.62,0.49,20,20,1
0.62,0.49,18,18,1
0.62,0.49,25,25,1
0.62,0.5,22,23,1
0.62,0.5,18,18,1
0.62,0.5,16,18,1
0.62,0.5,19,19,1
0.62,0.5,23,23,1
0.62,0.5,21,21,1
0.62,0.5,21,21,1
0.62,0.5,19,19,1
0.62,0.5,22,22,1
0.62,0.5,17,17,1
0.63,0,1000,0,0
0.63,0.01,38,38,1
0.63,0.01,40,40,1
0.63,0.01,39,39,1
0.63,0.01,1000,2,0.0190789
0.63,0.01,38,38,1
0.63,0.01,38,38,1
0.63,0.01,39,39,1
0.63,0.01,37,38,1
0.63,0.01,38,38,1
0.63,0.01,41,41,1
0.63,0.02,34,34,1
0.63,0.02,34,34,1
0.63,0.02,39,39,1
0.63,0.02,36,36,1
0.63,0.02,37,37,1
0.63,0.02,38,38,1
0.63,0.02,34,34,1
0.63,0.02,33,33,1
0.63,0.02,34,34,1
0.63,0.02,35,35,1
0.63,0.03,33,33,1
0.63,0.03,33,34,1
0.63,0.03,32,32,1
0.63,0.03,34,34,1
0.63,0.03,35,35,1
0.63,0.03,30,31,1
0.63,0.03,54,55,1
0.63,0.03,34,34,1
0.63,0.03,36,36,1
0.63,0.03,34,34,1
0.63,0.04,31,31,1
0.63,0.04,33,33,1
0.63,0.04,31,31,1
0.63,0.04,33,33,1
0.63,0.04,31,31,1
0.63,0.04,32,32,1
0.63,0.04,30,31,1
0.63,0.04,30,31,1
0.63,0.04,32,32,1
0.63,0.04,32,32,1
0.63,0.05,30,30,1
0.63,0.05,31,31,1
0.63,0.05,30,31,1
0.63,0.05,35,35,1
0.63,0.05,32,32,1
0.63,0.05,28,28,1
0.63,0.05,31,31,1
0.63,0.05,31,31,1
0.63,0.05,36,36,1
0.63,0.05,33,33,1
0.63,0.06,40,40,1
0.63,0.06,33,33,1
0.63,0.06,32,32,1
0.63,0.06,32,34,1
0.63,0.06,34,34,1
0.63,0.06,31,31,1
0.63,0.06,30,30,1
0.63,0.06,30,30,1
0.63,0.06,29,29,1
0.63,0.06,26,27,1
0.63,0.07,43,43,1
0.63,0.07,30,30,1
0.63,0.07,32,32,1
0.63,0.07,27,27,1
0.63,0.07,42,42,1
0.63,0.07,32,32,1
0.63,0.07,37,37,1
0.63,0.07,31,31,1
0.63,0.07,29,29,1
0.63,0.07,28,28,1
0.63,0.08,26,27,1
0.63,0.08,32,32,1
0.63,0.08,28,28,1
0.63,0.08,27,27,1
0.63,0.08,31,31,1
0.63,0.08,28,28,1
0.63,0.08,29,29,1
0.63,0.08,30,30,1
0.63,0.08,26,27,1
0.63,0.08,30,30,1
0.63,0.09,27,28,1
0.63,0.09,30,30,1
0.63,0.09,27,27,1
0.63,0.09,27,28,1
0.63,0.09,27,27,1
0.63,0.09,25,26,1
0.63,0.09,27,27,1
0.63,0.09,28,28,1
0.63,0.09,27,27,1
0.63,0.09,31,31,1
0.63,0.1,27,27,1
0.63,0.1,52,52,1
0.63,0.1,28,28,1
0.63,0.1,27,29,1
0.63,0.1,32,32,1
0.63,0.1,25,26,1
0.63,0.1,26,26,1
0.63,0.1,23,24,1
0.63,0.1,25,25,1
0.63,0.1,25,25,1
0.63,0.11,27,27,1
0.63,0.11,27,27,1
0.63,0.11,25,26,1
0.63,0.11,32,32,1
0.63,0.11,25,26,1
0.63,0.11,26,26,1
0.63,0.11,25,26,1
0.63,0.11,28,28,1
0.63,0.11,25,25,1
0.63,0.11,28,28,1
0.63,0.12,26,26,1
0.63,0.12,26,27,1
0.63,0.12,28,28,1
0.63,0.12,25,25,1
0.63,0.12,23,24,1
0.63,0.12,27,27,1
0.63,0.12,26,26,1
0.63,0.12,29,29,1
0.63,0.12,41,41,1
0.63,0.12,40,40,1
0.63,0.13,25,25,1
0.63,0.13,26,26,1
0.63,0.13,26,26,1
0.63,0.13,29,29,1
0.63,0.13,24,24,1
0.63,0.13,24,24,1
0.63,0.13,40,40,1
0.63,0.13,23,23,1
0.63,0.13,25,25,1
0.63,0.13,26,26,1
0.63,0.14,25,26,1
0.63,0.14,29,29,1
0.63,0.14,25,25,1
0.63,0.14,25,25,1
0.63,0.14,25,25,1
0.63,0.14,25,25,1
0.63,0.14,28,28,1
0.63,0.14,25,25,1
0.63,0.14,23,23,1
0.63,0.14,36,36,1
0.63,0.15,24,24,1
0.63,0.15,25,25,1
0.63,0.15,24,24,1
0.63,0.15,24,24,1
0.63,0.15,27,27,1
0.63,0.15,37,37,1
0.63,0.15,24,25,1
0.63,0.15,23,23,1
0.63,0.15,24,25,1
0.63,0.15,27,27,1
0.63,0.16,25,25,1
0.63,0.16,27,27,1
0.63,0.16,29,29,1
0.63,0.16,29,29,1
0.63,0.16,26,26,1
0.63,0.16,25,37,1
0.63,0.16,24,25,1
0.63,0.16,27,27,1
0.63,0.16,24,24,1
0.63,0.16,25,25,1
0.63,0.17,32,33,1
0.63,0.17,22,24,1
0.63,0.17,24,24,1
0.63,0.17,25,25,1
0.63,0.17,23,23,1
0.63,0.17,27,27,1
0.63,0.17,23,23,1
0.63,0.17,23,24,1
0.63,0.17,23,23,1
0.63,0.17,28,28,1
0.63,0.18,24,24,1
0.63,0.18,23,23,1
0.63,0.18,25,25,1
0.63,0.18,33,33,1
0.63,0.18,23,23,1
0.63,0.18,26,26,1
0.63,0.18,24,24,1
0.63,0.18,28,28,1
0.63,0.18,23,26,1
0.63,0.18,22,22,1
0.63,0.19,22,22,1
0.63,0.19,21,21,1
0.63,0.19,29,29,1
0.63,0.19,24,24,1
0.63,0.19,22,22,1
0.63,0.19,23,23,1
0.63,0.19,26,26,1
0.63,0.19,23,24,1
0.63,0.19,22,22,1
0.63,0.19,23,23,1
0.63,0.2,23,23,1
0.63,0.2,22,22,1
0.63,0.2,27,29,1
0.63,0.2,24,25,1
0.63,0.2,24,24,1
0.63,0.2,21,22,1
0.63,0.2,21,22,1
0.63,0.2,21,22,1
0.63,0.2,26,26,1
0.63,0.2,23,23,1
0.63,0.21,22,22,1
0.63,0.21,26,26,1
0.63,0.21,52,54,1
0.63,0.21,23,23,1
0.63,0.21,23,24,1
0.63,0.21,21,22,1
0.63,0.21,28,28,1
0.63,0.21,23,25,1
0.63,0.21,22,23,1
0.63,0.21,26,26,1
0.63,0.22,24,24,1
0.63,0.22,21,22,1
0.63,0.22,22,22,1
0.63,0.22,24,24,1
0.63,0.22,24,24,1
0.63,0.22,23,23,1
0.63,0.22,27,27,1
0.63,0.22,21,23,1
0.63,0.22,26,26,1
0.63,0.22,32,32,1
0.63,0.23,23,23,1
0.63,0.23,24,24,1
0.63,0.23,23,23,1
0.63,0.23,31,31,1
0.63,0.23,23,23,1
0.63,0.23,23,23,1
0.63,0.23,21,21,1
0.63,0.23,23,23,1
0.63,0.23,23,23,1
0.63,0.23,24,24,1
0.63,0.24,20,21,1
0.63,0.24,23,23,1
0.63,0.24,23,24,1
0.63,0.24,29,29,1
0.63,0.24,22,22,1
0.63,0.24,23,23,1
0.63,0.24,23,23,1
0.63,0.24,24,24,1
0.63,0.24,23,23,1
0.63,0.24,23,23,1
0.63,0.25,22,22,1
0.63,0.25,22,22,1
0.63,0.25,21,22,1
0.63,0.25,24,24,1
0.63,0.25,21,21,1
0.63,0.25,22,22,1
0.63,0.25,34,34,1
0.63,0.25,24,24,1
0.63,0.25,23,23,1
0.63,0.25,22,22,1
0.63,0.26,22,22,1
0.63,0.26,20,21,1
0.63,0.26,21,21,1
0.63,0.26,22,22,1
0.63,0.26,40,40,1
0.63,0.26,23,23,1
0.63,0.26,26,26,1
0.63,0.26,23,23,1
0.63,0.26,23,23,1
0.63,0.26,23,23,1
0.63,0.27,30,30,1
0.63,0.27,22,22,1
0.63,0.27,22,22,1
0.63,0.27,20,20,1
0.63,0.27,39,39,1
0.63,0.27,25,25,1
0.63,0.27,27,27,1
0.63,0.27,22,22,1
0.63,0.27,19,20,1
0.63,0.27,23,23,1
0.63,0.28,25,25,1
0.63,0.28,26,38,1
0.63,0.28,21,21,1
0.63,0.28,23,23,1
0.63,0.28,18,19,1
0.63,0.28,21,21,1
0.63,0.28,21,21,1
0.63,0.28,41,41,1
0.63,0.28,36,37,1
0.63,0.28,21,21,1
0.63,0.29,22,22,1
0.63,0.29,22,22,1
0.63,0.29,38,38,1
0.63,0.29,19,20,1
0.63,0.29,21,21,1
0.63,0.29,20,20,1
0.63,0.29,27,27,1
0.63,0.29,42,42,1
0.63,0.29,20,20,1
0.63,0.29,18,19,1
0.63,0.3,22,22,1
0.63,0.3,19,20,1
0.63,0.3,20,21,1
0.63,0.3,22,22,1
0.63,0.3,19,19,1
0.63,0.3,24,24,1
0.63,0.3,19,19,1
0.63,0.3,24,24,1
0.63,0.3,22,22,1
0.63,0.3,23,23,1
0.63,0.31,19,19,1
0.63,0.31,24,24,1
0.63,0.31,22,22,1
0.63,0.31,20,20,1
0.63,0.31,20,20,1
0.63,0.31,21,22,1
0.63,0.31,22,22,1
0.63,0.31,21,21,1
0.63,0.31,20,20,1
0.63,0.31,23,23,1
0.63,0.32,22,22,1
0.63,0.32,18,18,1
0.63,0.32,19,20,1
0.63,0.32,24,24,1
0.63,0.32,21,21,1
0.63,0.32,20,20,1
0.63,0.32,24,24,1
0.63,0.32,22,23,1
0.63,0.32,18,18,1
0.63,0.32,24,24,1
0.63,0.33,18,18,1
0.63,0.33,19,20,1
0.63,0.33,21,21,1
0.63,0.33,20,20,1
0.63,0.33,19,19,1
0.63,0.33,24,24,1
0.63,0.33,25,26,1
0.63,0.33,25,25,1
0.63,0.33,19,20,1
0.63,0.33,18,19,1
0.63,0.34,31,31,1
0.63,0.34,21,21,1
0.63,0.34,21,22,1
0.63,0.34,29,29,1
0.63,0.34,19,23,1
0.63,0.34,21,22,1
0.63,0.34,19,20,1
0.63,0.34,35,35,1
0.63,0.34,19,19,1
0.63,0.34,21,21,1
0.63,0.35,21,21,1
0.63,0.35,28,28,1
0.63,0.35,21,21,1
0.63,0.35,25,25,1
0.63,0.35,18,19,1
0.63,0.35,20,20,1
0.63,0.35,21,21,1
0.63,0.35,44,44,1
0.63,0.35,22,22,1
0.63,0.35,23,23,1
0.63,0.36,18,19,1
0.63,0.36,20,20,1
0.63,0.36,25,25,1
0.63,0.36,20,20,1
0.63,0.36,20,20,1
0.63,0.36,19,19,1
0.63,0.36,22,22,1
0.63,0.36,30,30,1
0.63,0.36,19,19,1
0.63,0.36,19,19,1
0.63,0.37,21,21,1
0.63,0.37,19,19,1
0.63,0.37,18,18,1
0.63,0.37,31,31,1
0.63,0.37,20,20,1
0.63,0.37,18,19,1
0.63,0.37,18,20,1
0.63,0.37,18,18,1
0.63,0.37,18,19,1
0.63,0.37,18,18,1
0.63,0.38,19,19,1
0.63,0.38,21,21,1
0.63,0.38,19,19,1
0.63,0.38,17,17,1
0.63,0.38,19,19,1
0.63,0.38,23,23,1
0.63,0.38,23,23,1
0.63,0.38,17,18,1
0.63,0.38,21,21,1
0.63,0.38,19,28,1
0.63,0.39,21,21,1
0.63,0.39,19,19,1
0.63,0.39,19,19,1
0.63,0.39,21,21,1
0.63,0.39,23,23,1
0.63,0.39,18,19,1
0.63,0.39,22,22,1
0.63,0.39,26,26,1
0.63,0.39,29,29,1
0.63,0.39,20,20,1
0.63,0.4,21,21,1
0.63,0.4,19,19,1
0.63,0.4,19,19,1
0.63,0.4,19,19,1
0.63,0.4,21,21,1
0.63,0.4,21,21,1
0.63,0.4,23,23,1
0.63,0.4,24,24,1
0.63,0.4,39,40,1
0.63,0.4,20,20,1
0.63,0.41,21,21,1
0.63,0.41,18,19,1
0.63,0.41,29,29,1
0.63,0.41,18,18,1
0.63,0.41,19,19,1
0.63,0.41,21,21,1
0.63,0.41,18,18,1
0.63,0.41,22,22,1
0.63,0.41,18,18,1
0.63,0.41,20,21,1
0.63,0.42,21,21,1
0.63,0.42,18,18,1
0.63,0.42,19,19,1
0.63,0.42,21,21,1
0.63,0.42,17,19,1
0.63,0.42,31,31,1
0.63,0.42,38,38,1
0.63,0.42,21,21,1
0.63,0.42,17,18,1
0.63,0.42,21,21,1
0.63,0.43,21,21,1
0.63,0.43,16,17,1
