Germline Resistance,Max Freq with at Least One Drive Chromosome,Gens of Max Freq,Drive Allele Freq Here, Gens to Reach 99%
0.22,1,38,1,25
0.22,1,55,1,28
0.22,1,46,1,25
0.22,1,48,1,26
0.22,1,43,1,26
0.22,1,48,1,26
0.23,1,42,1,25
0.23,1,45,1,24
0.23,1,44,1,25
0.23,1,37,1,24
0.23,1,41,1,25
0.23,1,38,1,24
0.23,1,41,1,24
0.23,1,47,1,23
0.23,1,51,1,24
0.23,1,53,1,25
0.24,1,45,1,24
0.24,1,36,1,22
0.24,1,41,1,24
0.24,1,41,1,23
0.24,1,41,1,24
0.24,1,42,1,23
0.24,1,51,1,24
0.24,1,51,1,23
0.24,1,51,1,23
0.24,1,39,1,23
0.25,1,45,1,22
0.25,1,37,1,23
0.25,1,33,1,21
0.25,1,36,1,22
0.25,1,45,1,21
0.25,1,44,1,23
0.25,1,42,1,24
0.25,1,44,1,23
0.25,1,40,1,23
0.25,1,35,1,22
0.26,1,39,1,21
0.26,1,39,1,22
0.26,1,53,1,22
0.26,1,57,1,22
0.26,1,36,1,22
0.26,1,39,1,23
0.26,1,37,1,22
0.26,1,33,1,22
0.26,1,41,1,22
0.26,1,34,1,22
0.27,1,42,1,22
0.27,1,34,1,21
0.27,1,37,1,22
0.27,1,40,1,20
0.27,1,43,1,21
0.27,1,52,1,21
0.27,1,36,1,22
0.27,1,38,1,21
0.27,1,35,1,20
0.27,1,38,1,22
0.28,1,40,1,21
0.28,1,33,1,21
0.28,1,47,1,21
0.28,1,40,1,22
0.28,1,39,1,21
0.28,1,35,1,20
0.28,1,32,1,20
0.28,1,38,1,20
0.28,1,47,1,20
0.28,1,47,1,21
0.29,1,32,1,19
0.29,1,34,1,19
0.29,1,31,1,19
0.29,1,43,1,19
0.29,1,33,1,20
0.29,1,41,1,20
0.29,1,32,1,20
0.29,1,34,1,20
0.29,1,32,1,21
0.29,1,38,1,20
0.3,1,32,1,20
0.3,1,60,1,19
0.3,1,33,1,21
0.3,1,35,1,20
0.3,1,31,1,18
0.3,1,36,1,21
0.3,1,32,1,19
0.3,1,36,1,19
0.3,1,36,1,19
0.3,1,33,1,19
0.31,1,32,1,19
0.31,1,31,1,20
0.31,1,42,1,20
0.31,1,30,1,18
0.31,1,40,1,20
0.31,1,31,1,20
0.31,1,38,1,19
0.31,1,45,1,18
0.31,1,37,1,20
0.31,1,36,1,19
0.32,1,39,1,19
0.32,1,32,1,19
0.32,1,29,1,18
0.32,1,40,1,18
0.32,1,37,1,18
0.32,1,38,1,19
0.32,1,36,1,19
0.32,1,32,1,20
0.32,1,44,1,18
0.32,1,30,1,19
0.33,1,30,1,18
0.33,1,39,1,18
0.33,1,32,1,19
0.33,1,27,1,18
0.33,1,32,1,18
0.33,1,31,1,18
0.33,1,29,1,18
0.33,1,33,1,18
0.33,1,28,1,17
0.33,1,31,1,18
0.34,1,31,1,17
0.34,1,35,1,18
0.34,1,33,1,18
0.34,1,29,1,17
0.34,1,29,1,17
0.34,1,38,1,18
0.34,1,31,1,17
0.34,1,34,1,18
0.34,1,37,1,18
0.34,1,28,1,17
0.35,1,30,1,18
0.35,1,32,1,18
0.35,1,30,1,17
0.35,1,35,1,17
0.35,1,27,1,18
0.35,1,33,1,18
0.35,1,28,1,16
0.35,1,32,1,16
0.35,1,34,1,17
0.35,1,36,1,17
0.36,1,31,1,17
0.36,1,26,1,17
0.36,1,33,1,17
0.36,1,36,1,17
0.36,1,28,1,17
0.36,1,31,1,18
0.36,1,33,1,17
0.36,1,33,1,17
0.36,1,36,1,17
0.36,1,36,1,16
0.37,1,33,1,17
0.37,1,37,1,16
0.37,1,31,1,16
0.37,1,33,1,17
0.37,1,33,1,17
0.37,1,31,1,17
0.37,1,33,1,17
0.37,1,31,1,16
0.37,1,32,1,17
0.37,1,29,1,16
0.38,1,30,1,17
0.38,1,28,1,16
0.38,1,25,1,16
0.38,1,26,1,16
0.38,1,26,1,16
0.38,1,27,1,16
0.38,1,34,1,17
0.38,1,27,1,16
0.38,1,27,1,16
0.38,1,33,1,17
0.39,1,30,1,16
0.39,1,26,1,17
0.39,1,28,1,16
0.39,1,34,1,16
0.39,1,29,1,15
0.39,1,28,1,16
0.39,1,27,1,16
0.39,1,40,1,16
0.39,1,27,1,15
0.39,1,34,1,17
0.4,1,29,1,15
0.4,1,26,1,17
0.4,1,28,1,16
0.4,1,28,1,15
0.4,1,23,1,16
0.4,1,27,1,15
0.4,1,27,1,15
0.4,1,24,1,16
0.4,1,28,1,15
0.4,1,29,1,16
0.41,1,28,1,15
0.41,1,30,1,16
0.41,1,28,1,15
0.41,1,31,1,15
0.41,1,25,1,15
0.41,1,31,1,16
0.41,1,26,1,15
0.41,1,26,1,16
0.41,1,30,1,14
0.41,1,37,1,15
0.42,1,26,1,15
0.42,1,25,1,16
0.42,1,28,1,16
0.42,1,26,1,15
0.42,1,24,1,15
0.42,1,26,1,15
0.42,1,28,1,15
0.42,1,24,1,16
0.42,1,28,1,14
0.42,1,28,1,16
0.43,1,27,1,14
0.43,1,26,1,15
0.43,1,24,1,15
0.43,1,30,1,16
0.43,1,33,1,15
0.43,1,25,1,15
0.43,1,26,1,15
0.43,1,24,1,14
0.43,1,29,1,15
0.43,1,24,1,14
0.44,1,29,1,15
0.44,1,26,1,14
0.44,1,23,1,14
0.44,1,31,1,14
0.44,1,35,1,14
0.44,1,23,1,15
0.44,1,25,1,14
0.44,1,32,1,14
0.44,1,27,1,15
0.44,1,23,1,15
0.45,1,24,1,15
0.45,1,22,1,15
0.45,1,26,1,15
0.45,1,30,1,14
0.45,1,24,1,14
0.45,1,30,1,14
0.45,1,37,1,15
0.45,1,29,1,14
0.45,1,24,1,14
0.45,1,30,1,15
0.46,1,22,1,15
0.46,1,33,1,14
0.46,1,30,1,13
0.46,1,25,1,14
0.46,1,27,1,15
0.46,1,31,1,14
0.46,1,23,1,14
0.46,1,28,1,14
0.46,1,27,1,15
0.46,1,30,1,15
0.47,1,22,1,14
0.47,1,27,1,15
0.47,1,25,1,14
0.47,1,19,1,14
0.47,1,23,1,14
0.47,1,21,1,14
0.47,1,20,1,13
0.47,1,23,1,14
0.47,1,25,1,14
0.47,1,22,1,14
0.48,1,22,1,13
0.48,1,19,1,13
0.48,1,23,1,14
0.48,1,23,1,14
0.48,1,24,1,13
0.48,1,29,1,13
0.48,1,22,1,15
0.48,1,30,1,14
0.48,1,23,1,15
0.48,1,24,1,14
0.49,1,23,1,14
0.49,1,26,1,13
0.49,1,19,1,13
0.49,1,19,1,14
0.49,1,22,1,13
0.49,1,23,1,13
0.49,1,29,1,14
0.49,1,24,1,14
0.49,1,28,1,14
0.49,1,21,1,13
0.5,1,26,1,13
0.5,1,22,1,14
0.5,1,25,1,13
0.5,1,30,1,13
0.5,1,21,1,14
0.5,1,21,1,13
0.5,1,27,1,13
0.5,1,25,1,14
0.5,1,20,1,13
0.5,1,24,1,13
0.51,1,22,1,13
0.51,1,26,1,13
0.51,1,19,1,13
0.51,1,24,1,13
0.51,1,22,1,13
0.51,1,22,1,14
0.51,1,23,1,14
0.51,1,20,1,14
0.51,1,25,1,13
0.51,1,22,1,14
0.52,1,25,1,13
0.52,1,23,1,13
0.52,1,22,1,13
0.52,1,22,1,14
0.52,1,18,1,13
0.52,1,30,1,14
0.52,1,23,1,13
0.52,1,27,1,14
0.52,1,23,1,13
0.52,1,28,1,13
0.53,1,20,1,13
0.53,1,22,1,13
0.53,1,22,1,13
0.53,1,21,1,13
0.53,1,20,1,12
0.53,1,20,1,12
0.53,1,21,1,13
0.53,1,23,1,13
0.53,1,20,1,13
0.53,1,20,1,13
0.54,1,20,1,14
0.54,1,30,1,12
0.54,1,21,1,13
0.54,1,21,1,12
0.54,1,23,1,13
0.54,1,24,1,13
0.54,1,21,1,13
0.54,1,23,1,13
0.54,1,19,1,12
0.54,1,20,1,12
0.55,1,21,1,13
0.55,1,25,1,13
0.55,1,22,1,12
0.55,1,21,1,13
0.55,1,19,1,12
0.55,1,20,1,13
0.55,1,20,1,12
0.55,1,23,1,13
0.55,1,23,1,12
0.55,1,30,1,12
0.56,1,18,1,13
0.56,1,21,1,13
0.56,1,22,1,13
0.56,1,28,1,12
0.56,1,22,1,12
0.56,1,19,1,12
0.56,1,23,1,13
0.56,1,22,1,13
0.56,1,24,1,12
0.56,1,19,1,12
0.57,1,17,1,12
0.57,1,22,1,12
0.57,1,26,1,13
0.57,1,20,1,12
0.57,1,19,1,12
0.57,1,24,1,12
0.57,1,20,1,12
0.57,1,22,1,12
0.57,1,18,1,12
0.57,1,20,1,12
0.58,1,19,1,12
0.58,1,24,1,12
0.58,1,20,1,12
0.58,1,17,1,12
0.58,1,19,1,12
0.58,1,20,1,12
0.58,1,18,1,12
0.58,1,20,1,12
0.58,1,19,1,13
0.58,1,22,1,12
0.59,1,18,1,12
0.59,1,18,1,12
0.59,1,19,1,12
0.59,1,18,1,12
0.59,1,20,1,12
0.59,1,19,1,12
0.59,1,22,1,12
0.59,1,19,1,12
0.59,1,21,1,12
0.59,1,21,1,12
0.6,1,22,1,12
0.6,1,20,1,11
0.6,1,19,1,12
0.6,1,19,1,12
0.6,1,19,1,12
0.6,1,20,1,12
0.6,1,21,1,12
0.6,1,22,1,12
0.6,1,31,1,12
0.6,1,19,1,12
0.61,1,21,1,12
0.61,1,18,1,12
0.61,1,17,1,12
0.61,1,18,1,12
0.61,1,20,1,12
0.61,1,17,1,11
0.61,1,23,1,12
0.61,1,19,1,12
0.61,1,25,1,12
0.61,1,20,1,12
0.62,1,19,1,12
0.62,1,28,1,11
0.62,1,20,1,12
0.62,1,22,1,12
0.62,1,17,1,11
0.62,1,23,1,12
0.62,1,22,1,12
0.62,1,19,1,12
0.62,1,17,1,12
0.62,1,27,1,12
0.63,1,20,1,11
0.63,1,21,1,12
0.63,1,17,1,11
0.63,1,17,1,11
0.63,1,20,1,12
0.63,1,19,1,11
0.63,1,18,1,12
0.63,1,20,1,11
0.63,1,18,1,12
0.63,1,18,1,12
0.64,1,17,1,11
0.64,1,19,1,12
0.64,1,17,1,12
0.64,1,16,1,11
0.64,1,19,1,12
0.64,1,16,1,11
0.64,1,18,1,13
0.64,1,16,1,11
0.64,1,18,1,12
0.64,1,31,1,12
0.65,1,19,1,11
0.65,1,17,1,12
0.65,1,19,1,11
0.65,1,18,1,12
0.65,1,16,1,11
0.65,1,18,1,11
0.65,1,15,1,11
0.65,1,16,1,11
0.65,1,17,1,11
0.65,1,22,1,12
0.66,1,20,1,12
0.66,1,19,1,13
0.66,1,17,1,11
0.66,1,17,1,12
0.66,1,23,1,12
0.66,1,16,1,10
0.66,1,18,1,12
0.66,1,23,1,10
0.66,1,16,1,11
0.66,1,22,1,12
0.67,1,19,1,11
0.67,1,17,1,11
0.67,1,26,1,11
0.67,1,22,1,13
0.67,1,18,1,11
0.67,1,16,1,11
0.67,1,17,1,11
0.67,1,16,1,11
0.67,1,22,1,11
0.67,1,19,1,11
0.68,1,19,1,11
0.68,1,23,1,11
0.68,1,16,1,11
0.68,1,17,1,11
0.68,1,20,1,12
0.68,1,17,1,11
0.68,1,15,1,10
0.68,1,17,1,12
0.68,1,15,1,11
0.68,1,16,1,11
0.69,1,19,1,10
0.69,1,23,1,10
0.69,1,16,1,11
0.69,1,15,1,10
0.69,1,14,1,11
0.69,1,18,1,11
0.69,1,14,1,11
0.69,1,20,1,11
0.69,1,16,1,12
0.69,1,18,1,11
0.7,1,15,1,10
0.7,1,15,1,11
0.7,1,16,1,11
0.7,1,15,1,10
0.7,1,16,1,11
0.7,1,16,1,11
0.7,1,16,1,10
0.7,1,14,1,11
0.7,1,16,1,10
0.7,1,14,1,11
0.71,1,18,1,11
0.71,1,16,1,11
0.71,1,19,1,11
0.71,1,14,1,10
0.71,1,23,1,11
0.71,1,16,1,10
0.71,1,16,1,10
0.71,1,19,1,10
0.71,1,16,1,11
0.71,1,22,1,11
0.72,1,15,1,10
0.72,1,17,1,11
0.72,1,15,1,10
0.72,1,17,1,10
0.72,1,14,1,10
0.72,1,16,1,11
0.72,1,13,1,10
0.72,1,17,1,11
0.72,1,16,1,10
0.72,1,16,1,11
0.73,1,17,1,10
0.73,1,14,1,10
0.73,1,15,1,11
0.73,1,16,1,10
0.73,1,15,1,10
0.73,1,14,1,11
0.73,1,16,1,11
0.73,1,16,1,11
0.73,1,16,1,11
0.73,1,19,1,11
0.74,1,13,1,10
0.74,1,15,1,10
0.74,1,18,1,10
0.74,1,16,1,11
0.74,1,12,1,10
0.74,1,14,1,10
0.74,1,14,1,11
0.74,1,17,1,11
0.74,1,16,1,10
0.74,1,13,1,10
0.75,1,16,1,11
0.75,1,14,1,10
0.75,1,15,1,10
0.75,1,13,1,10
0.75,1,14,1,10
0.75,1,16,1,10
0.75,1,16,1,10
0.75,1,15,1,12
0.75,1,15,1,10
0.75,1,15,1,9
0.76,1,14,1,11
0.76,1,16,1,10
0.76,1,16,1,10
0.76,1,20,1,10
0.76,1,16,1,11
0.76,1,15,1,11
0.76,1,13,1,10
0.76,1,16,1,10
0.76,1,17,1,9
0.76,1,15,1,10
0.77,1,14,1,10
0.77,1,14,1,11
0.77,1,17,1,10
0.77,1,15,1,10
0.77,1,14,1,11
0.77,1,13,1,10
0.77,1,14,1,11
0.77,1,16,1,10
0.77,1,15,1,11
0.77,1,15,1,9
0.78,1,14,1,10
0.78,1,13,1,10
0.78,1,14,1,10
0.78,1,14,1,11
0.78,1,14,1,11
0.78,1,15,1,10
0.78,1,17,1,10
0.78,1,15,1,11
0.78,1,14,1,11
0.78,1,14,1,10
0.79,1,13,1,9
0.79,1,14,1,10
0.79,1,12,1,10
0.79,1,13,1,9
0.79,1,13,1,10
0.79,1,15,1,10
0.79,1,14,1,10
0.79,1,19,1,10
0.79,1,14,1,10
0.79,1,14,1,11
0.8,1,16,1,10
0.8,1,13,1,10
0.8,1,13,1,10
